ce_annual_ndx,water_type_index,water_type,awwa_audit_method,audit_method_comment,audit_this_year,time_between_audits_years,audit_freq_remark
1935,3,Non-potable Re-use,NO,Mass balance report based on production and billed water use,YES,1,""
2048,3,Non-potable Re-use,NO,None,NO,,""
2201,3,Non-potable Re-use,NO,None,NO,,""
2087,3,Non-potable Re-use,NO,"",NO,,
2188,3,Non-potable Re-use,NO,"",NO,,""
2076,3,Non-potable Re-use,NO,,NO,,
2020,3,Non-potable Re-use,NO,"",NO,,
2134,3,Non-potable Re-use,NO,Production vs billed use,YES,1,""
2186,3,Non-potable Re-use,NO,Informal field assessment. ACWWA plans on doing an AWWA M36 Audit later this year. Added VCC to monthly metered.,NO,,Informal field assessment
2022,3,Non-potable Re-use,NO,Mass balance report based on production and billed water use,YES,1,""
2222,3,Non-potable Re-use,YES,"",YES,1,""
1916,3,Non-potable Re-use,NO,,YES,1,""
1951,3,Non-potable Re-use,NO,"",NO,,""
2073,3,Non-potable Re-use,NO,"",NO,,""
2052,3,Non-potable Re-use,NO,Informal field assessment. ACWWA plans on doing an AWWA M36 Audit later this year.,NO,,Informal field assessment
1980,3,Non-potable Re-use,NO,None,NO,,""
2152,3,Non-potable Re-use,NO,Informal field assessment. ACWWA plans on doing an AWWA M36 Audit later this year. Added VCC to monthly metered.,NO,,Informal field assessment
1981,3,Non-potable Re-use,NO,Informal field assessment,NO,,
2029,3,Non-potable Re-use,YES,"",NO,,
1931,,**SERVICE CONNECTIONS NOT SET UP**,"",,"",,
2198,,**SERVICE CONNECTIONS NOT SET UP**,"",,"",,
