ce_annual_ndx,water_type_index,water_type,billed_unmetered_use,unbilled_authorized_use,apparent_losses,real_losses,calculated_total,units,billumu,ubillau,apploss,realloss,calctotal,,325850.943,1
2065,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2066,1,Potable Treated,2965,1000,0,0,3965,"Gallons, Thousands",2965,1000,0,0,3965,,,
2068,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2069,1,Potable Treated,2000,0,200000,40000,242000,"Gallons, Thousands",2000,0,200000,40000,242000,,,
2072,1,Potable Treated,15000,13554,20581,24589,73724,"Gallons, Thousands",15000,13554,20581,24589,73724,,,
2073,1,Potable Treated,0,26020,0,1055,27075,"Gallons, Thousands",0,26020,0,1055,27075,,,
2078,1,Potable Treated,0,0,0,0,0,"Gallons, Thousands",0,0,0,0,0,,,
2087,1,Potable Treated,0,0,25.511,294.193,319.704,"Gallons, Thousands",0,0,25.511,294.193,319.704,,,
2118,1,Potable Treated,0,53213,0,0,53213,"Gallons, Thousands",0,53213,0,0,53213,,,
2119,1,Potable Treated,0,63487,51436.8,63487,178411,"Gallons, Thousands",0,63487,51436.8,63487,178411,,,
2122,1,Potable Treated,0,0,501932,0,501932,"Gallons, Thousands",0,0,501932,0,501932,,,
2123,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2124,1,Potable Treated,0,275469,0,0,275469,"Gallons, Thousands",0,275469,0,0,275469,,,
2125,1,Potable Treated,27383,78740,467421,149377,722921,"Gallons, Thousands",27383,78740,467421,149377,722921,,,
2126,1,Potable Treated,2677,1000,0,0,3677,"Gallons, Thousands",2677,1000,0,0,3677,,,
2128,1,Potable Treated,0,13.554,265.17,244.589,523.313,"Gallons, Thousands",0,13.554,265.17,244.589,523.313,,,
2129,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2130,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2132,1,Potable Treated,0,5427,3230,40022,48679,"Gallons, Thousands",0,5427,3230,40022,48679,,,
2134,1,Potable Treated,0,70736,27171,351328,449235,"Gallons, Thousands",0,70736,27171,351328,449235,,,
2139,1,Potable Treated,0,3000,0,0,3000,"Gallons, Thousands",0,3000,0,0,3000,,,
2153,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2156,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2161,1,Potable Treated,0,58070,0,0,58070,"Gallons, Thousands",0,58070,0,0,58070,,,
2164,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2176,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2177,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2178,1,Potable Treated,0,0,23135,387110,410245,"Gallons, Thousands",0,0,23135,387110,410245,,,
2179,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2184,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2188,1,Potable Treated,0,31356,0,1914,33270,"Gallons, Thousands",0,31356,0,1914,33270,,,
2190,1,Potable Treated,0,38042.6,0,0,38042.6,"Gallons, Thousands",0,38042.6,0,0,38042.6,,,
2194,1,Potable Treated,0,379723,0,0,379723,"Gallons, Thousands",0,379723,0,0,379723,,,
2195,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2196,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2201,1,Potable Treated,23217,76229,456411,120159,676016,"Gallons, Thousands",23217,76229,456411,120159,676016,,,
2204,1,Potable Treated,2519,2000,0,0,4519,"Gallons, Thousands",2519,2000,0,0,4519,,,
2213,1,Potable Treated,0,0.254,23.898,268.555,292.707,"Gallons, Thousands",0,0.254,23.898,268.555,292.707,,,
2214,1,Potable Treated,3973,0,0,0,3973,"Gallons, Thousands",3973,0,0,0,3973,,,
2216,1,Potable Treated,0,55451,0,0,55451,"Gallons, Thousands",0,55451,0,0,55451,,,
2217,1,Potable Treated,0,53356,0,0,53356,"Gallons, Thousands",0,53356,0,0,53356,,,
2218,1,Potable Treated,0,50134,0,0,50134,"Gallons, Thousands",0,50134,0,0,50134,,,
2219,1,Potable Treated,0,50574,0,0,50574,"Gallons, Thousands",0,50574,0,0,50574,,,
2220,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2226,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2194,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1924,2,Non-potable Raw,0,0,0,0,0,"Gallons, Thousands",0,0,0,0,0,,,
2130,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2201,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2022,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1950,2,Non-potable Raw,0,0,0,5457,5457,"Gallons, Thousands",0,0,0,5457,5457,,,
1912,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2165,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2048,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2049,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2166,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2061,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2176,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2064,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2177,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2073,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1935,2,Non-potable Raw,0,0,0,0,0,"Gallons, Thousands",0,0,0,0,0,,,
2184,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1938,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2188,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1967,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2190,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2095,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1980,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2118,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2193,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1960,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1997,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1998,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2124,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2125,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2006,2,Non-potable Raw,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1936,3,Non-potable Re-use,0,0,0,0,0,"Gallons, Thousands",0,0,0,0,0,,,
1912,3,Non-potable Re-use,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1938,3,Non-potable Re-use,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1949,3,Non-potable Re-use,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2125,3,Non-potable Re-use,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2014,3,Non-potable Re-use,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1935,3,Non-potable Re-use,0,0,8737,0,8737,"Gallons, Thousands",0,0,8737,0,8737,,,
2048,3,Non-potable Re-use,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2201,3,Non-potable Re-use,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2087,3,Non-potable Re-use,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2134,3,Non-potable Re-use,0,0,0,28028,28028,"Gallons, Thousands",0,0,0,28028,28028,,,
2022,3,Non-potable Re-use,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1980,3,Non-potable Re-use,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2067,1,Potable Treated,,,,,0,Unspecified,0,0,0,0,0,,,
2014,2,Non-potable Raw,,,,,0,Unspecified,0,0,0,0,0,,,
2069,3,Non-potable Re-use,,,,,0,Unspecified,0,0,0,0,0,,,
2188,3,Non-potable Re-use,,,,,0,Unspecified,0,0,0,0,0,,,
2073,3,Non-potable Re-use,,,,,0,Unspecified,0,0,0,0,0,,,
1931,,**SERVICE CONNECTIONS NOT SET UP**,,,,,0,,0,0,0,0,0,,,
2198,,**SERVICE CONNECTIONS NOT SET UP**,,,,,0,,0,0,0,0,0,,,
